keyword,volume_es,volume_es_latam,volume_us,competition,cpc_es,source
box breathing,390,890,49500,LOW,0.01,dataforseo_2026-09
ataque de ansiedad,6600,42300,2900,LOW,0.64,dataforseo_2026-09
ataque de pánico,3600,28900,1900,LOW,0.94,dataforseo_2026-09
como controlar la ansiedad,1900,14000,1900,MEDIUM,0.78,dataforseo_2026-09
controlar la ansiedad,1900,14000,1900,MEDIUM,0.78,dataforseo_2026-09
respiración diafragmática,3600,10600,320,LOW,0.59,dataforseo_2026-09
ejercicios de respiración,1000,7720,390,MEDIUM,0.36,dataforseo_2026-09
nadi shodhana,480,1230,2400,LOW,0,dataforseo_2026-09
respiración 4-7-8,1600,3340,140,LOW,1.31,dataforseo_2026-09
respiración consciente,880,2940,110,MEDIUM,0.12,dataforseo_2026-09
respiración profunda,590,2630,140,LOW,0.02,dataforseo_2026-09
respiración para dormir,720,2250,140,LOW,0.35,dataforseo_2026-09
respiración cuadrada,720,2050,70,LOW,0,dataforseo_2026-09
calmar la ansiedad,720,1930,110,MEDIUM,0.54,dataforseo_2026-09
cómo calmar la ansiedad,720,1930,110,MEDIUM,0.54,dataforseo_2026-09
ejercicios de respiración para la ansiedad,260,1720,110,LOW,0.35,dataforseo_2026-09
respiración abdominal,720,1670,40,LOW,0.81,dataforseo_2026-09
coherencia cardíaca,880,1400,30,LOW,0.72,dataforseo_2026-09
respiración para la ansiedad,590,1380,40,LOW,1.65,dataforseo_2026-09
nadi shodhana pranayama,210,470,880,LOW,0,dataforseo_2026-09
técnicas de respiración para la ansiedad,210,1180,40,LOW,1.35,dataforseo_2026-09
ejercicios para calmar la ansiedad,140,1040,70,MEDIUM,0.72,dataforseo_2026-09
ejercicios de respiración para dormir,140,790,70,LOW,0.53,dataforseo_2026-09
técnica militar para dormir,210,730,40,LOW,0.83,dataforseo_2026-09
ejercicios de respiración para relajarse,170,650,50,LOW,0.73,dataforseo_2026-09
respiración con labios fruncidos,90,590,20,LOW,0,dataforseo_2026-09
técnica 4-7-8,210,590,10,LOW,0,dataforseo_2026-09
técnica de respiración 4-7-8,70,420,20,LOW,0,dataforseo_2026-09
respiración para calmar la ansiedad,70,350,10,LOW,0,dataforseo_2026-09
ejercicios de relajación para la ansiedad,70,300,20,LOW,0.65,dataforseo_2026-09
técnica militar para dormir 4 7 8,110,260,20,LOW,0,dataforseo_2026-09
respiración de caja,30,240,30,LOW,0,dataforseo_2026-09
respiracion diafragmatica como se hace,170,220,20,LOW,0,dataforseo_2026-09
técnicas de relajación para la ansiedad,110,220,10,MEDIUM,0.76,dataforseo_2026-09
respiración para dormir rápido,70,210,10,LOW,0,dataforseo_2026-09
ejercicios de respiracion para el estres,20,190,30,LOW,0,dataforseo_2026-09
opresión en el pecho ansiedad,90,190,10,LOW,0.05,dataforseo_2026-09
respiración 4 7 8 beneficios,70,180,10,LOW,0,dataforseo_2026-09
respiracion profunda beneficios,30,160,30,LOW,0,dataforseo_2026-09
beneficios de la respiración profunda,20,120,20,LOW,0,dataforseo_2026-09
como calmar un ataque de ansiedad de otra persona,10,130,10,,0,dataforseo_2026-09
respiración para calmar los nervios,50,130,10,LOW,0,dataforseo_2026-09
suspiro fisiológico,70,120,10,LOW,0,dataforseo_2026-09
respiración diafragmática profunda,40,120,10,LOW,0,dataforseo_2026-09
respiración 4 7 8 cuantas veces,70,110,10,LOW,0,dataforseo_2026-09
ejercicios de respiración para calmar la ansiedad,20,110,10,MEDIUM,2.07,dataforseo_2026-09
10 beneficios de la respiración profunda,10,110,10,,0,dataforseo_2026-09
ejercicios de respiracion para bajar la ansiedad,10,100,20,HIGH,1.4,dataforseo_2026-09
respiración alterna,50,100,10,LOW,0,dataforseo_2026-09
respiración cuadrada beneficios,40,100,10,LOW,0,dataforseo_2026-09
